nodeID,xcoord,ycoord,floor,building,nodeType,longName,shortName
zDEPT00101,400,150,1,Tower,DEPT,Center for International Medicine,CIM
zDEPT00201,420,475,1,Tower,DEPT,Bretholtz Center for Patients and Families,Bretholtz WR
zDEPT00301,577,254,1,Tower,DEPT,Multifaith Chapel,Chapel
zDEPT00401,700,500,1,Tower,DEPT,Sharf Admitting Center,Sharf Center
zDEPT00501,930,650,1,Tower,DEPT,Emergency Department,Emergency
zDEPT00601,700,385,1,Tower,DEPT,International Patient Center,IPC
zEXIT00101,887,157,1,Tower,EXIT,Shattuck Street Lobby Exit,Shattuck St. Exit
zEXIT00201,618,780,1,Tower,EXIT,75 Francis Valet Drop-off,75 Francis Exit
zEXIT00301,969,719,1,Tower,EXIT,Emergency Department Entrance,Emergency Entrance
zHALL00101,969,269,1,Tower,HALL,Lower Pike Hallway Exit Lobby,Hallway F00101
zHALL00201,922,271,1,Tower,HALL,Lobby Shattuck Street,Hallway F00201
zHALL00301,887,267,1,Tower,HALL,Shattuck Street Lobby 1,Hallway F00301
zHALL00401,841,267,1,Tower,HALL,Shattuck Street Lobby 2,Hallway F00401
zHALL00501,820,267,1,Tower,HALL,Shattuck Street Lobby 3,Hallway F00501
zHALL00601,735,285,1,Tower,HALL,Tower Lobby Entrance 1,Tower Entrance
zHALL00701,625,285,1,Tower,HALL,Tower Elevator Entrance,Hallway F00701
zHALL00801,625,210,1,Tower,HALL,Tower Hallway 1,Hallway F00801
zHALL00901,496,210,1,Tower,HALL,Tower Hallway 2,Hallway F00901
zHALL01001,496,159,1,Tower,HALL,Tower Hallway 3,Hallway F01001
zHALL01101,496,286,1,Tower,HALL,Tower Hallway 4,Hallway F01101
zHALL01201,405,286,1,Tower,HALL,Tower Staff Entrance,Hallway F01201
zHALL01301,496,188,1,Tower,HALL,Tower Hallway 5,Hallway F01301
zHALL01401,496,388,1,Tower,HALL,Tower Hallway 6,Hallway F01401
zHALL01501,496,416,1,Tower,HALL,Tower Hallway 7,Hallway F01501
zHALL01601,624,416,1,Tower,HALL,Tower Hallway 8,Hallway F01601
zHALL01701,624,311,1,Tower,HALL,Tower Hallway 9,Hallway F01701
zHALL01801,593,311,1,Tower,HALL,Tower Hallway 10,Hallway F01801
zHALL01901,624,474,1,Tower,HALL,Tower Hallway 11,Hallway F01901
zHALL02001,570,474,1,Tower,HALL,Tower Hallway 12,Hallway F02001
zHALL02101,641,505,1,Tower,HALL,Tower Hallway Entrance,Tower Entrance 2
zHALL02201,641,639,1,Tower,HALL,Hallway Lobby Entrance,Entrance Hallway
zHALL02301,717,639,1,Tower,HALL,Lobby Hallway 1,Hallway F02301
zHALL02401,837,639,1,Tower,HALL,Lobby Hallway 2,Hallway F02401
zHALL02501,837,598,1,Tower,HALL,Lobby Hallway 3,Hallway F02501
zHALL02601,900,598,1,Tower,HALL,Lobby Hallway 4,Hallway F02601
zHALL02701,937,598,1,Tower,HALL,Lobby Hallway 7,Hallway F02701
zHALL02801,619,639,1,Tower,HALL,Lobby Entrance Hallway,HallwayF02801
zHALL02901,569,639,1,Tower,HALL,75 Lobby,75 Lobby
zHALL03001,507,604,1,Tower,HALL,Lobby Hallway 5,Hallway F02701
zHALL03101,902,336,1,Tower,HALL,Lobby Hallway 6,Hallway F02801
zHALL03201,624,388,1,Tower,HALL,Tower Hallway 13,Hallway F03201
zHALL03301,937,649,1,Tower,HALL,Emergency Hallway,Hallway F03301
zINFO00101,569,584,1,Tower,INFO,75 Lobby Information Desk,Lobby Info Desk
zLABS00101,717,609,1,Tower,LABS,Obstetrics Admitting,Obs Admitting
zREST00101,964,336,1,Tower,REST,Bathroom 75 Lobby,Bathroom Lobby
zRETL00101,841,206,1,Tower,RETL,Lobby Vending Machine,VM Lobby
zRETL00201,478,604,1,Tower,RETL,Au Bon Pain,ABP
zSERV00101,820,232,1,Tower,SERV,Shattuck Street Lobby ATM,Lobby ATM
zSERV00201,474,388,1,Tower,SERV,Tower Medical Cashier,Tower Cashier
zSERV00301,569,515,1,Tower,SERV,Kessler Library,Kessler Library
zSERV00401,593,329,1,Tower,DEPT,Spiritual Care Office,SCO
zSERV00501,507,639,1,Tower,SERV,75 Lobby Valet Cashier,Valet Cashier
zSTAI00101,902,254,1,Tower,STAI,Lobby Shattuck Street Stairs,Stairway F00101
zSTAI00201,542,159,1,Tower,STAI,Tower Stairway 1,Tower Stairs 1
zSTAI00301,820,598,1,Tower,STAI,Lobby Escalator,Lobby Escalator
zELEV00L01,681,286,1,Tower,ELEV,Elevator L Floor 1,Elevator L1
zELEV00M01,681,639,1,Tower,ELEV,Elevator M Floor 1,Elevator M1
zBATH00102,481,371,2,Tower,BATH,Bathroom 1 Tower Floor 2,Bathroom 0102
zDEPT00102,931,697,2,Tower,DEPT,Endoscopy,Endoscopy
zHALL00102,746,286,2,Tower,HALL,Hallway Connector 1 Floor 2,Hallway H00102
zHALL00202,832,266,2,Tower,HALL,Hallway Connector 2 Floor 2,Hallway H00202
zHALL00302,914,266,2,Tower,HALL,Hallway Connector 3 Floor 2,Hallway H00302
zHALL00402,746,392,2,Tower,HALL,Hallway Connector 4 Floor 2,Hallway H00402
zHALL00502,700,392,2,Tower,HALL,Hallway Connector 5 Floor 2,Hallway H00502
zHALL00602,645,458,2,Tower,HALL,Hallway Connector 6 Floor 2,Hallway H00602
zHALL00702,617,515,2,Tower,HALL,Hallway Connector 7 Floor 2,Hallway H00702
zHALL00802,617,596,2,Tower,HALL,Hallway Connector 8 Floor 2,Hallway H00802
zHALL00902,617,647,2,Tower,HALL,Hallway Connector 9 Floor 2,Hallway H00902
zHALL01002,931,647,2,Tower,HALL,Hallway Connector 10 Floor 2,Hallway H01002
zHALL01102,617,849,2,Tower,HALL,Hallway Connector 11 Floor 2,Hallway H01102
zRETL00102,810,224,2,Tower,RETL,Garden Cafe,Garden Cafe
zRETL00202,487,392,2,Tower,RETL,Vending Machine Floor 2?,Vending Machine
